cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
15404211,0001,1,,04,20260528,20120413,SP,6769
15406548,0001,1,,02,20120422,20120422,PR,7535
15411165,0001,1,POINT ACADEMIA,04,20190320,20120423,GO,9373
15413330,0001,1,AKILES FIGHT,08,20210222,20120420,RN,1765
15420831,0001,1,ACADEMIA NOVA GERACAO,02,20120424,20120424,GO,9753
15422399,0001,1,,08,20160303,20120425,DF,9701
15424318,0001,1,,08,20211027,20120416,SP,6933
15426866,0001,1,STUDIO DO CORPO,02,20120419,20120419,BA,3477
08259029,0001,1,,08,20170630,20060811,SP,7107
08277752,0001,1,,02,20060904,20060904,RS,8845
08284809,0001,1,LINHA DO CORPO FITNESS CENTER,08,20190906,20060911,PR,7745
20437592,0001,1,SPACO SAUDE,08,20230613,20140612,PA,0465
08485944,0001,1,,04,20210226,20061113,SP,7107
08598707,0001,1,ELLO S ACADEMIA,08,20200312,20070117,SC,8125
08609480,0001,1,,08,20160815,20070126,SP,6163
08650526,0001,1,DINAMICA,08,20200612,20070208,MG,4123
08693861,0001,1,ACADEMIA PRATIQUE,04,20201029,20070210,MG,4123
08797669,0001,1,ACADEMIA CORPO E ARTE,08,20200720,20070504,CE,1585
08904556,0001,1,,03,20211009,20070625,EX,9707
08945793,0001,1,,04,20181026,20070723,CE,1389
08971200,0001,1,,08,20110113,20070802,SP,7083
08975701,0001,1,FIT PARK ACADEMIA,02,20070725,20070725,DF,9701
20439125,0001,1,DONNA FITNESS,04,20210419,20140612,SP,6361
09022510,0001,1,ACADEMIA DE MUSCULACAO SERGIO VIANA,08,20161123,20070823,CE,1389
09026574,0001,1,SPACE FITNESS,08,20191213,20070831,SP,7021
09062651,0001,1,PERSONAL LABOR,04,20181016,20070823,SP,7107
09070296,0001,1,,08,20100608,20070801,RS,8669
09113627,0001,1,CIA FITNESS,04,20181023,20071005,PR,7667
09120151,0001,1,,04,20190125,20071002,CE,1313
09145136,0001,1,PILATES SALUTE,08,20170818,20070926,DF,9701
09150528,0001,1,,04,20260512,20071017,RJ,5909
09182982,0001,1,BARRA FITNESS ACADEMIA,02,20070503,20070503,RJ,5805
20439672,0001,1,CARBOFITNESS,02,20140612,20140612,MG,4269
09272427,0001,1,JJ PHOENIX ACADEMY,02,20260521,20071205,MG,4877
09518011,0001,1,BUDOKAN ACADEMIA,08,20140407,20080429,MT,9067
09536064,0001,1,,08,20220317,20080505,SP,7183
09562749,0001,1,ACADEMIA OLYMPUS,08,20140908,20080513,RS,8801
09633606,0001,1,OXIGENIO PERSONAL TRAINER,04,20181017,20080616,DF,9701
09655902,0001,1,ACADEMIA CORPO VITAL,02,20080625,20080625,SC,8169
10174947,0001,1,STUDIO DE PERSONAL TRAINING CAROL AILA,08,20110614,20080710,MG,4865
10221632,0001,1,ACADEMIA PHYSICAL FITNESS,04,20201023,20080729,AM,0255
10230884,0001,1,,02,20211116,20080724,SP,7057
10282414,0001,1,MAX BRASIL-CENTRO DE DESENVOLVIMENTO SOCIAL E ESPORTIVO,04,20231027,20080813,SP,7107
10308365,0001,1,ACADEMIA CLYPTON,04,20210303,20080901,MA,0921
10314850,0001,1,,08,20081009,20080903,EX,9707
10331727,0001,1,S FITNES,04,20260518,20080619,RJ,6001
10356007,0001,1,MURBS - ESPORTIVAS,02,20210922,20080821,PR,7535
20443860,0001,1,,08,20160922,20140613,PE,2595
10370942,0001,1,ACADEMIA DANCERS,08,20160222,20080902,SP,7183
10371384,0001,1,ACADEMIA MILLENIUM,04,20180913,20080925,RS,8801
10383481,0001,1,ACADEMIA ESPACO VITAL,08,20160823,20080717,SE,3111
10391625,0001,1,ACADEMIA BIOFORMA,08,20220204,20080924,RN,1759
10418187,0001,1,,08,20131002,20081020,SC,8169
10419706,0001,1,ACTIVE ACADEMIA,02,20080814,20080814,RS,8877
10534668,0001,1,VITALLITA PERSONAL SPA E BELEZA,08,20130116,20081212,MT,9907
10559790,0001,1,ACADEMIA FLEX MASTER,08,20220506,20081224,BA,3797
10565671,0001,1,ACQUA GYM BY SPORTS,02,20090105,20090105,SP,7107
10583707,0001,1,,04,20210318,20090121,SC,8027
10638319,0001,1,CURVES CUIABA,08,20150409,20090206,MT,9067
10700295,0001,1,,08,20160912,20090311,RS,8785
10807957,0001,1,,02,20090414,20090414,RS,8655
10808182,0001,1,SPORT FITNESS,04,20240822,20090330,MA,0813
10858063,0001,1,,08,20211018,20090528,MG,4553
10895617,0001,1,IRON FIT ACADEMIA,04,20181214,20090526,SP,6477
10908817,0001,1,ACADEMIA N.V.GYM,02,20090619,20090619,RJ,2909
10965647,0001,1,MAX PHYSIC ACADEMIA,08,20170609,20090708,SP,7245
10969519,0001,1,TOTAL FITNESS,08,20200528,20090707,SP,6905
10989338,0001,1,UCRANIA ACADEMIA,08,20201119,20090715,ES,5699
11007174,0001,1,,04,20210323,20090731,SC,5749
11013074,0001,1,TOP SAUDE,04,20210401,20090803,GO,1052
11069723,0001,1,DIAKSON EVENTOS E ESPORTES,08,20140416,20090820,MG,4701
11077803,0001,1,ACADEMIA FITNESS BUNCH,04,20240904,20090713,SP,6589
11148554,0001,1,ACADEMIA BOA FORMA,02,20090908,20090908,PB,2021
11184317,0001,1,ACADEMIA EB,08,20131016,20090923,SP,7089
20446320,0001,1,LIFE HEALTHY ACADEMIA,02,20140612,20140612,SC,8179
11206072,0001,1,,08,20190211,20091002,SP,7237
11333061,0001,1,,02,20220711,20091029,SP,7107
11372496,0001,1,AW - ACADEMIA WOLVERINE,02,20091109,20091109,DF,9701
11430480,0001,1,ACADEMIA BOA FORMA,08,20150827,20091229,MG,4999
11455736,0001,1,METRO FITNESS,02,20100112,20100112,GO,9373
11482526,0001,1,FISIFORMA ACADEMIA,03,20220930,20100120,PE,2531
11536321,0001,1,,04,20181121,20100121,BA,3413
11553545,0001,1,,08,20250612,20100211,AL,2785
11571453,0001,1,ACADEMIA A! VICENTE QUEIROZ,04,20260514,20100218,MG,5403
11630565,0001,1,,02,20100301,20100301,SP,7245
11669076,0001,1,,08,20250805,20100311,MG,4021
11679320,0001,1,,02,20100310,20100310,SP,6309
11682025,0001,1,UNICA ATIVIDADE FISICA RESISTIDA,02,20100224,20100224,SP,6163
11700896,0001,1,,08,20200312,20100318,MG,4553
11753510,0001,1,ACADEMIA SPORT DRAGOON,08,20121101,20100318,SP,6299
11760935,0001,1,ACADEMIA CENTRAL DO CORPO,08,20160425,20100331,SC,8179
11881291,0001,1,,08,20140605,20100430,SP,6873
11885254,0001,1,MOVIMENTO CONSULTORIA EM ATIVIDADE FISICA,08,20170613,20100430,RS,8685
11885908,0001,1,FITT SPORT ACADEMIA,04,20260518,20100414,SP,6789
11952796,0001,1,ACADEMIA ESPACO DO CORPO,08,20150807,20100405,PR,7535
11993215,0001,1,NINA ACADEMIA PILATES,02,20100514,20100514,SP,6291
12023676,0001,1,,08,20180921,20100531,SP,7107
12029803,0001,1,SPK OFICINA DO MOVIMENTO,08,20100715,20100521,RN,1761
12032477,0001,1,,08,20170603,20100602,PR,7583
20449330,0001,1,TAFFAREL EDUCACAO FISICA PERSONALIZADA PROFISSIONAL,08,20220318,20140615,RS,8901
12081762,0001,1,W N MUSCULACAO,04,20201027,20100614,PE,2513
12194378,0001,1,ACADEMIA,02,20190410,20100616,SP,6323
12263212,0001,1,GOLDEN GYM,04,20210316,20100721,RJ,5897
12272194,0001,1,ATHLETE TRAINING CENTER,02,20100712,20100712,SP,7107
12323859,0001,1,,04,20210324,20100721,SP,6689
12334849,0001,1,ACADEMIA BIOFITNESS,02,20100723,20100723,SP,7033
12357826,0001,1,CONSCIENCIA DO CORPO,02,20100804,20100804,DF,9701
12389305,0001,1,ACADEMIA ESPACO SAUDE,02,20100817,20100817,BA,3749
12391855,0001,1,THREE PILATES,08,20160706,20100714,RJ,5865
12405167,0001,1,ACADEMIA FIT CLUBE,08,20131106,20100812,MS,9051
12423427,0001,1,,04,20181002,20100819,PE,2531
20450816,0001,1,TREINADOR MARQUINHOS,08,20190215,20140616,MG,5413
12466808,0001,1,ACADEMIA CORPO & VIDA,04,20210219,20100818,TO,9241
12613773,0001,1,ACADEMIA FITLIFE,02,20210305,20101001,CE,1389
12695721,0001,1,,08,20230414,20101019,RS,8929
20451934,0001,1,,04,20210309,20140616,PR,7633
12779362,0001,1,SPORT FITNESS,04,20210303,20101019,CE,1563
12793314,0001,1,D & L NUNES ASSESSORIA ESPORTIVA,08,20200128,20101027,SP,7097
12813444,0001,1,ACADEMIA BOA FORMA SUA QUALIDADE DE VIDA,08,20110811,20101014,BA,3437
12992201,0001,1,ACADEMIA TORRES FITNESS,02,20101203,20101203,ES,5623
13018822,0001,1,ARMS GYM,02,20101124,20101124,PR,7493
13020030,0001,1,,02,20101202,20101202,SP,7107
13035667,0001,1,,02,20101124,20101124,PR,7535
13110272,0001,1,ACADEMIA STATUS,08,20190514,20110112,GO,9227
13149951,0001,1,,08,20140519,20110125,PR,7471
13150648,0001,1,CENTRO DE TREINAMENTO LELLO SPORTS,04,20260518,20110125,SP,7121
