cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
64848748,0001,1,3E FIT PERFORMANCE E CONSULTORIA,02,20260130,20260130,GO,9373
64849940,0001,1,,02,20260202,20260202,PB,1981
64860074,0001,1,,02,20260202,20260202,SP,7107
64860476,0001,1,STUDIO DE PILATES THAILA GOES,02,20260202,20260202,MS,9051
64860856,0001,1,AYRE PILATES,02,20260129,20260129,PR,7535
64862723,0001,1,ESPACO FIT I & G ACADEMIA,02,20260131,20260131,BA,3735
64866728,0001,1,KVC FITNESS,02,20260202,20260202,SC,8327
64872689,0001,1,ACADEMIA TRANSFORMA,02,20260202,20260202,SE,3145
64878613,0001,1,ALLTITUDE,02,20260202,20260202,MG,4331
64881556,0001,1,MOVIMENTE,02,20260203,20260203,TO,9711
64898918,0001,1,,02,20260203,20260203,AM,0255
64899475,0001,1,TH GYM,02,20260203,20260203,MA,0108
64911980,0001,1,CT COLISEU,02,20260203,20260203,PE,2403
64912092,0001,1,,02,20260203,20260203,MG,4733
64913738,0001,1,PILATES MATIAS,02,20260202,20260202,SP,6913
64913895,0001,1,M G FIT,02,20260203,20260203,MA,0887
63595180,0001,1,PUMP FIT,02,20251110,20251110,MS,9011
64915923,0001,1,SKYFIT UNIDADE EMBU-GUACU,02,20260130,20260130,SP,6403
64919422,0001,1,LM PERSONAL,02,20260203,20260203,SP,7107
64923290,0001,1,,02,20260204,20260204,MG,4097
64931101,0001,1,ULTRA ACADEMIA,02,20260203,20260203,DF,9701
64932944,0001,1,ESTUDIO DE EMAGRECIMENTO FEMININO PROFIT,02,20260204,20260204,MS,9125
64946855,0001,1,,02,20260130,20260130,SP,7107
64947882,0001,1,JOAO HENRIQUE ACADEMIA DE JIU JITSU,02,20260204,20260204,RJ,6001
64951698,0001,1,STUDIO MELO FRANCO,02,20260205,20260205,MG,4123
64955608,0001,1,GETUP ACADEMIA BOUTIQUE BIGORRILHO,02,20260203,20260203,PR,7535
64958792,0001,1,SUNFIT ACADEMIA ENSEADA,02,20260205,20260205,SC,8319
64962423,0001,1,LS ACADEMIA E SUPLEMENTOS,02,20260204,20260204,GO,9785
12930926,0002,2,,02,20260206,20260206,PR,8461
64974323,0001,1,MAP PILATES,02,20260206,20260206,MG,5035
64976730,0001,1,VS FITNESS,02,20260206,20260206,CE,9853
64982776,0001,1,PILATES CAMILA VEGA MARILIA,02,20260205,20260205,SP,6681
64986848,0001,1,,02,20260206,20260206,PR,7791
64995337,0001,1,,02,20260206,20260206,SP,7071
64998178,0001,1,CESAR JAQUES TREINADOR,02,20260116,20260116,RS,8589
64999757,0001,1,TEAM PRASS,02,20260207,20260207,RS,8841
65008082,0001,1,RESERVA WELLNESS CENTER,02,20260206,20260206,PE,2531
65010965,0001,1,,02,20260204,20260204,SP,6953
65015967,0001,1,,02,20260206,20260206,SP,6219
65049867,0001,1,ESSENCE STUDIO,02,20260210,20260210,MG,4133
65050124,0001,1,VORTEX STUDIO,02,20260210,20260210,GO,9373
65053543,0001,1,FO TREINADOR LTDA,02,20260210,20260210,PR,5525
65055312,0001,1,CAMPOS PERSONAL TRAINER,02,20260210,20260210,MG,4541
65057151,0001,1,ATLAS PERFOMANCE CONSCIENTE,02,20260210,20260210,DF,9701
65058421,0001,1,,02,20260210,20260210,BA,3849
62206624,0002,2,TOTAL FIT ACADEMIA II,02,20260210,20260210,PA,0052
65068093,0001,1,ACADEMIA STRONG FITNESS,02,20260211,20260211,SE,3119
65084961,0001,1,,02,20260203,20260203,RN,1761
65087146,0001,1,FORMA FIT,02,20260211,20260211,BA,3413
65093963,0001,1,"METODO MAX THO, TREINAMENTO E ASSESSORIA",02,20260212,20260212,PA,0427
65095445,0001,1,,02,20260210,20260210,PR,7743
65101100,0001,1,VALERIA ZANELLA,08,20260430,20260211,MT,8985
65101819,0001,1,,02,20260212,20260212,RS,8543
65102034,0001,1,,02,20260212,20260212,RJ,5915
65103265,0001,1,PH.D SPORTS,02,20260211,20260211,PR,7821
65104076,0001,1,,02,20260212,20260212,RN,1761
65108585,0001,1,FITNESS.COM,02,20260212,20260212,CE,1447
65111124,0001,1,ONECROSS TRAINING,02,20260212,20260212,PI,1053
65114763,0001,1,SEGUINDO SAUDE CENTRO DE TREINAMENTO,02,20260211,20260211,RJ,5847
65120513,0001,1,,02,20260211,20260211,MS,9159
65120908,0001,1,PATRICIA ALBERTINI PROFESSOR EDUCACAO FISICA,02,20260211,20260211,SP,7107
65123397,0001,1,,02,20260210,20260210,SP,7107
65124089,0001,1,,02,20260213,20260213,AP,0605
63653016,0001,1,ACADEMIA TEA ACAO E MOVIMENTO,02,20251113,20251113,SP,7097
65128120,0001,1,ESTUDIO OM,02,20260213,20260213,RN,1881
65131026,0001,1,BIO FIT ACADEMIA,02,20260212,20260212,SP,6835
65135629,0001,1,,08,20260326,20260211,RJ,6001
65139978,0001,1,CKP PARTICIPACOES LTDA,02,20260214,20260214,PR,7733
65165681,0001,1,DRA. REBECCA SANTANA,02,20260213,20260213,DF,9701
65172350,0001,1,STUDIO POWER LIFE,02,20260218,20260218,MG,4643
65187749,0001,1,HV POWER FIT,02,20260213,20260213,BA,3669
61818330,0002,2,,02,20260219,20260219,RS,8771
65194977,0001,1,,02,20260218,20260218,PR,7823
65201569,0001,1,SHALOM STUDIO DE MUSCULACAO,02,20260219,20260219,MG,4371
65204819,0001,1,PATRICIA HIRT PILATES LTDA,02,20260218,20260218,SC,8311
65214651,0001,1,,02,20260220,20260220,CE,1473
65216036,0001,1,EVOLVE,02,20260219,20260219,DF,9701
65216133,0001,1,,02,20260209,20260209,SP,6219
65216306,0001,1,EVOLVE,02,20260219,20260219,DF,9701
65233370,0001,1,ULTRA FORTE BRASIL - TREINAMENTO ESPORTIVO,02,20260218,20260218,RS,8801
65240761,0001,1,GABRIEL AGOSTINHO SAUDE E PERFORMANCE,02,20260221,20260221,MG,4123
65242510,0001,1,,02,20260221,20260221,SP,7107
65250147,0001,1,ESPACO MULHER,02,20260212,20260212,SP,6101
65251074,0001,1,,02,20260212,20260212,RS,8929
65251113,0001,1,LEFLOW PERSONAL STUDIO,02,20260221,20260221,SP,6875
65252644,0001,1,GD TEAM,02,20260220,20260220,SC,8165
65263718,0001,1,,02,20260210,20260210,SC,8161
65272405,0001,1,STAFF E ACADEMIA DE FUTEBOL ALAPODI,02,20260223,20260223,PA,0535
65280408,0001,1,,02,20260219,20260219,SP,7071
65284007,0001,1,SENSACAO FITNNES,02,20260224,20260224,MG,4371
65291529,0001,1,MP ASSESSORIA E CONSULTORIA ESPORTIVA,02,20260223,20260223,RJ,5877
65292110,0001,1,,02,20260223,20260223,MG,4625
65292660,0001,1,LIFE FITNESS,02,20260224,20260224,MG,4763
64675554,0001,1,GLADIUM FITNESS,02,20260122,20260122,PR,8461
65297991,0001,1,VS FITNESS ACADEMIA,02,20260213,20260213,BA,3515
65298238,0001,1,ACADEMIA CORPO E MOVIMENTO SANTANA,02,20260127,20260127,SP,6155
65301258,0001,1,,02,20260224,20260224,PR,7973
65308437,0001,1,ACADEMIA ALTA PERFOMANCE,02,20260224,20260224,PR,7863
65310587,0001,1,ISABELLA BORGES PERSONAL,08,20260413,20260224,SP,7083
65315709,0001,1,,02,20260224,20260224,MG,4123
65324561,0001,1,,02,20260225,20260225,SP,7107
65329878,0001,1,C-POWER ACADEMIA,02,20260225,20260225,RR,0034
65333053,0001,1,CT19,02,20260225,20260225,SP,7061
65336039,0001,1,ACADEMIA MERITUS,02,20260220,20260220,MG,4371
65349486,0001,1,,02,20260225,20260225,SP,7107
65354114,0001,1,CHARLES JUNIOR PERSONAL,02,20260226,20260226,MA,0727
65356294,0001,1,CROSS CONNECT CAXAMBU,02,20260226,20260226,MG,4309
60949392,0013,2,,02,20260226,20260226,GO,9227
65361486,0001,1,GPS ATIVIDADES ESPORTIVAS E PERSONALIZADAS,02,20260226,20260226,SP,7145
65369552,0001,1,,02,20260227,20260227,MT,9067
65370873,0001,1,KATY OLIVEIRA,02,20260227,20260227,SC,8179
65378066,0001,1,INFITNESS ACADEMIA,02,20260227,20260227,AM,0255
65380004,0001,1,PHYSICAL SPORT ACADEMIA,02,20260227,20260227,SC,8383
65392393,0001,1,NAIFIT ACADEMIA,02,20260227,20260227,MT,0111
65395047,0001,1,FELIPE GAVLAK TREINAMENTO FISICO,02,20260204,20260204,PR,7479
65402368,0001,1,,02,20260227,20260227,RN,1761
65405080,0001,1,FIT + ACADEMIA,02,20260227,20260227,BA,3569
65406398,0001,1,,02,20260227,20260227,SP,7233
65408140,0001,1,LONGEVIDADE ATIVA,02,20260302,20260302,SP,7107
32693482,0002,2,,02,20260302,20260302,MS,9085
65408703,0001,1,STUDIO RENATA MONTEMOR,02,20260227,20260227,SP,6469
65415973,0001,1,AGS FITNESS,02,20260227,20260227,SP,7107
65422423,0001,1,NEXT MOVE TREINAMENTO E PERFORMANCE,02,20260302,20260302,MG,4123
65426705,0001,1,ANDY HEALTH TRAINER,02,20260302,20260302,SP,7107
65435280,0001,1,SEJA PILATES,02,20260227,20260227,SP,7237
65438770,0001,1,ACADEMIA EVOLUTION,02,20260303,20260303,PB,0492
65441569,0001,1,,02,20260302,20260302,SP,7107
65447335,0001,1,BOXZERO2,02,20260303,20260303,SC,8367
65452792,0001,1,,02,20260303,20260303,SP,7107
65455128,0001,1,SKY EMPREENDIMENTOS E ATIVIDADE FISICA,02,20260303,20260303,MT,8985
65460056,0001,1,ARENA PITBULL,02,20260303,20260303,MG,4371
65463019,0001,1,,02,20260303,20260303,RJ,5811
65466308,0001,1,,02,20260304,20260304,MG,5403
58910790,0002,2,CENTRO DE TREINAMENTO FISICO CRISTAO ARBELLO-FIT,02,20260304,20260304,SC,8233
65468018,0001,1,ACADEMIA CORPO E SAUDE,02,20251217,20251217,GO,9373
65474214,0001,1,ARENA PRIME ACADEMIA,02,20260304,20260304,TO,9409
65485205,0001,1,PS CONSULTORIA ESPORTIVA,02,20260304,20260304,PB,1981
65510381,0001,1,,02,20260305,20260305,CE,1547
65513108,0001,1,WB MOVIMENTO & DESENVOLVIMENTO,02,20260305,20260305,CE,1427
65518973,0001,1,FEATUPVINTE7 FITNESS,02,20260305,20260305,SC,8027
65522866,0001,1,,02,20260306,20260306,RJ,5837
