cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
41150958,0001,1,H BOX 45,02,20210309,20210309,RN,1849
26512790,0001,1,SERGINHO RICK FITNESS LTDA,04,20210310,20161109,SP,6291
41162240,0001,1,CROSSTURBOH CAPITAO,02,20210310,20210310,SP,7075
27665375,0001,1,MK 52 ACADEMIA,04,20210311,20170504,RJ,6001
27969400,0001,1,RODOLPHO AUGUSTO,02,20250515,20170614,RJ,6001
41176917,0001,1,VICTOR UMUOKPOKE ATIVIDADES ESPORTIVAS.,02,20210311,20210311,SP,7107
40851509,0002,2,ACADEMIA TOTAL FITNESS,02,20210311,20210311,MG,5177
41183035,0001,1,EVOLUTION TRAINING,02,20210311,20210311,GO,9403
41189554,0001,1,MAIS SAUDE BOX,02,20210312,20210312,PI,1199
41199208,0001,1,ATIVE,02,20210312,20210312,SC,8143
41215337,0001,1,FHORMAFITNESS,02,20210315,20210315,PE,2617
41220192,0001,1,EQUIPE DIFERENCIAL,08,20220620,20210315,RJ,5865
41229509,0001,1,ACADEMIA ASSEF FITNESS,02,20210316,20210316,AM,0255
41234189,0001,1,ACADEMIA START FIT,02,20210316,20210316,PE,2535
41235026,0001,1,STUDIO ROFTNESS,02,20210316,20210316,SP,6875
41235446,0001,1,STUDIO PERSONAL PRIME,02,20210316,20210316,SC,8339
41241362,0001,1,ACADEMIA MUNDO FIT,02,20210316,20210316,MG,4123
41250067,0001,1,,04,20240820,20210317,RN,1885
41252205,0001,1,MVS TREINAMENTOS,08,20220119,20210317,SP,7107
41254909,0001,1,FORCA E SAUDE,02,20210317,20210317,MG,5387
28068840,0001,1,PUSH UP,04,20210318,20170628,SC,5537
32798263,0002,2,,02,20210318,20210318,PR,7885
41261062,0001,1,ACTIVE LIFE,02,20210318,20210318,PR,5535
41262302,0001,1,,02,20210318,20210318,MG,5171
41267914,0001,1,,02,20240110,20210318,MG,4371
41297434,0001,1,H FIT STUDIO,02,20210322,20210322,ES,2929
41310916,0001,1,PEREIRA EXPERIENCIE ACADEMIA,04,20240822,20210322,RS,8845
27727441,0001,1,M.F. FUTSAL,04,20210323,20170514,RS,8933
36056340,0001,1,ENGENHARIA DO CORPO,02,20200120,20200120,SC,8039
41317521,0001,1,PERSONAL TRAINER STUDIO,02,20210323,20210323,SP,6511
26020367,0001,1,,02,20160824,20160824,SC,8081
41320992,0001,1,ACADEMIA IMPACTO FITNESS,08,20230725,20210323,MG,5319
41330847,0001,1,LIT FITNESS,08,20230130,20210324,PB,1981
41333143,0001,1,CROSS LIFE PILAR,08,20211130,20210324,SP,6689
20676459,0002,2,CLINICA S FISIC - FISIOTERAPIA E PILATES,08,20230731,20210324,MG,4371
41354959,0001,1,STUDIO VELOCITY,02,20210325,20210325,PR,7535
27315341,0001,1,FRANCA THAI KARATE,02,20260414,20170316,SP,6477
40965018,0001,1,STUDIO LESTE,02,20210223,20210223,SC,8081
41365796,0001,1,CT WOLF,02,20210326,20210326,SC,8045
41382833,0001,1,GYMPROVA ESTUDIO,02,20210329,20210329,RJ,5883
41397509,0001,1,ACADEMIA NOVA OPCAO FITNESS,02,20210329,20210329,BA,3849
41399289,0001,1,PREVINE FIT,02,20210330,20210330,RS,8895
41399681,0001,1,SHAPE BOUTIQUE,02,20210330,20210330,RS,8801
41402864,0001,1,SPLASH FIT,08,20210428,20210330,SP,6177
41403712,0001,1,ACADEMIA CORPO FITNESS,02,20210330,20210330,RS,1002
33426285,0001,1,CENTRO DE TREINAMENTO CAPIXABA,08,20251218,20190423,MG,4031
41432130,0001,1,MUNDIAL FITNESS,08,20240926,20210401,GO,9373
41440457,0001,1,MECA BODYBUILDING CENTER,02,20210402,20210402,RS,8581
41450345,0001,1,ACADEMIA AMF FITNESS,02,20210405,20210405,SP,7015
41455885,0001,1,FREITAS FITNESS,02,20210405,20210405,PI,1151
41456380,0001,1,BAILARINA PREPARADA,02,20210405,20210405,DF,9701
41459840,0001,1,FABIO BELO PERSONAL STUDIO,02,20210405,20210405,BA,3445
41469433,0001,1,,02,20210406,20210406,SP,6163
27603102,0002,2,CFV PARQUE DAS LARANJEIRAS,08,20250213,20210407,AM,0255
41487068,0001,1,,08,20220309,20210407,SP,6269
27072014,0001,1,STUDIO CROS FITNESS,02,20170209,20170209,BA,3873
41487859,0001,1,H M FITNESS,02,20210407,20210407,PA,0393
41489786,0001,1,VITTA + ACADEMIA,02,20210407,20210407,GO,9543
29089797,0001,1,GETING SHAPE PERSONAL TRAINING,04,20210408,20171117,RJ,5805
41498472,0001,1,,02,20210408,20210408,SP,2949
41506173,0001,1,ESPACO PILATES & FITNES,02,20210408,20210408,RS,8543
41512469,0001,1,BEACH TENNIS,02,20210409,20210409,SP,7107
40376775,0003,2,BLUEFIT EPITACIO,02,20210409,20210409,PB,2051
41516686,0001,1,48 PRO FITNESS CENTER,02,20210409,20210409,SC,8105
41517700,0001,1,CLINIMOVE TREINAMENTO E REABILITACAO,08,20220308,20210409,GO,9221
41532386,0001,1,,02,20210412,20210412,PR,7563
41541870,0001,1,PRIME FITNESS,02,20210412,20210412,PE,2521
